EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,YearlyIncome
930,28,Travel_Rarely,995,Research & Development,9,3.0,Medical,3.0,Female,77,3.0,1.0,Research Scientist,3.0,Divorced,2377,9834,5,No,18,3.0,2.0,80,1.0,6,2,3.0,2,2,2,2,0,28524
514,30,Travel_Frequently,464,Research & Development,4,3.0,Technical Degree,3.0,Male,40,3.0,1.0,Research Scientist,4.0,Single,2285,3427,9,Yes,23,4.0,3.0,80,0.0,3,4,3.0,1,0,0,0,1,27420
669,21,Travel_Rarely,1343,Sales,22,1.0,Technical Degree,3.0,Male,49,3.0,1.0,Sales Representative,3.0,Single,3447,24444,1,No,11,3.0,3.0,80,0.0,3,2,3.0,3,2,1,2,0,41364
32,53,Travel_Rarely,1282,Research & Development,5,3.0,Other,3.0,Female,58,3.0,5.0,Manager,3.0,Divorced,19094,10735,4,No,11,3.0,4.0,80,1.0,26,3,2.0,14,13,4,8,0,229128
1015,30,Travel_Rarely,153,Research & Development,8,2.0,Life Sciences,2.0,Female,73,4.0,3.0,Research Director,1.0,Married,11416,17802,0,Yes,12,3.0,3.0,80,3.0,9,4,2.0,8,7,1,7,0,136992
1858,28,Non-Travel,280,Human Resources,1,2.0,Life Sciences,3.0,Male,43,3.0,1.0,Human Resources,4.0,Divorced,2706,10494,1,No,15,3.0,2.0,80,1.0,3,2,3.0,3,2,2,2,0,32472
1383,34,Travel_Rarely,404,Research & Development,2,4.0,Technical Degree,3.0,Female,98,3.0,2.0,Healthcare Representative,4.0,Single,6687,6163,1,No,11,3.0,4.0,80,0.0,14,2,4.0,14,11,4,11,0,80244
894,42,Travel_Rarely,1265,Research & Development,3,3.0,Life Sciences,3.0,Female,95,4.0,2.0,Laboratory Technician,4.0,Married,5231,23726,2,Yes,13,3.0,2.0,80,1.0,17,1,2.0,5,3,1,3,0,62772
336,45,Travel_Rarely,252,Research & Development,1,3.0,Other,3.0,Male,70,4.0,5.0,Manager,4.0,Married,19202,15970,0,No,11,3.0,3.0,80,1.0,25,2,3.0,24,0,1,7,0,230424
208,29,Non-Travel,1496,Research & Development,1,1.0,Technical Degree,4.0,Male,41,3.0,2.0,Manufacturing Director,3.0,Married,4319,26283,1,No,13,3.0,1.0,80,1.0,10,1,3.0,10,7,0,9,0,51828
684,45,Travel_Frequently,306,Sales,26,4.0,Life Sciences,1.0,Female,100,3.0,2.0,Sales Executive,1.0,Married,4286,5630,2,No,14,3.0,4.0,80,2.0,5,4,3.0,1,1,0,0,1,51432
362,32,Travel_Rarely,128,Research & Development,2,1.0,Technical Degree,4.0,Male,84,2.0,2.0,Laboratory Technician,1.0,Single,2176,19737,4,No,13,3.0,4.0,80,0.0,9,5,3.0,6,2,0,4,0,26112
364,28,Travel_Rarely,529,Research & Development,2,4.0,Life Sciences,1.0,Male,79,3.0,1.0,Laboratory Technician,3.0,Single,3485,14935,2,No,11,3.0,3.0,80,0.0,5,5,1.0,0,0,0,0,1,41820
428,33,Travel_Frequently,553,Research & Development,5,4.0,Life Sciences,4.0,Female,74,3.0,3.0,Manager,2.0,Married,11878,23364,6,No,11,3.0,2.0,80,2.0,12,2,3.0,10,6,8,8,0,142536
1836,26,Travel_Rarely,572,Sales,10,3.0,Medical,3.0,Male,46,3.0,2.0,Sales Executive,4.0,Single,4684,9125,1,No,13,3.0,1.0,80,0.0,5,4,3.0,5,3,1,2,0,56208
1893,26,Travel_Rarely,482,Research & Development,1,2.0,Life Sciences,2.0,Female,90,2.0,1.0,Research Scientist,3.0,Married,2933,14908,1,Yes,13,3.0,3.0,80,1.0,1,3,2.0,1,0,1,0,0,35196
837,38,Travel_Frequently,471,Research & Development,12,3.0,Life Sciences,1.0,Male,45,2.0,2.0,Healthcare Representative,1.0,Divorced,6288,4284,2,No,15,3.0,3.0,80,1.0,13,3,2.0,4,3,1,2,0,75456
1085,41,Travel_Rarely,509,Research & Development,7,2.0,Technical Degree,2.0,Female,43,4.0,1.0,Research Scientist,3.0,Married,3376,18863,1,No,13,3.0,3.0,80,0.0,10,3,3.0,10,6,0,8,0,40512
881,35,Travel_Frequently,130,Research & Development,25,4.0,Life Sciences,4.0,Female,96,3.0,1.0,Research Scientist,2.0,Divorced,2022,16612,1,Yes,19,3.0,1.0,80,1.0,10,3,2.0,10,2,7,8,1,24264
1725,24,Travel_Rarely,506,Research & Development,29,1.0,Medical,2.0,Male,91,3.0,1.0,Laboratory Technician,1.0,Divorced,3907,3622,1,No,13,3.0,2.0,80,3.0,6,2,4.0,6,2,1,2,0,46884
1125,38,Travel_Rarely,130,Sales,2,2.0,Marketing,4.0,Male,32,3.0,3.0,Sales Executive,2.0,Single,7351,20619,7,No,16,3.0,3.0,80,0.0,10,2,3.0,1,0,0,0,0,88212
1361,40,Travel_Rarely,329,Research & Development,1,4.0,Life Sciences,2.0,Male,88,3.0,1.0,Laboratory Technician,2.0,Married,2387,6762,3,No,22,4.0,3.0,80,1.0,7,3,3.0,4,2,0,3,0,28644
1161,37,Travel_Rarely,367,Research & Development,25,2.0,Medical,3.0,Female,52,2.0,2.0,Healthcare Representative,4.0,Divorced,5731,17171,7,No,13,3.0,3.0,80,2.0,9,2,3.0,6,2,1,3,0,68772
1428,30,Travel_Rarely,855,Sales,7,4.0,Marketing,4.0,Female,73,3.0,2.0,Sales Executive,1.0,Divorced,4779,12761,7,No,14,3.0,2.0,80,2.0,8,3,3.0,3,2,0,2,0,57348
975,35,Travel_Rarely,1219,Sales,18,3.0,Medical,3.0,Female,86,3.0,2.0,Sales Executive,3.0,Married,4601,6179,1,No,16,3.0,2.0,80,0.0,5,3,3.0,5,2,1,0,0,55212
1928,29,Travel_Frequently,746,Sales,24,3.0,Technical Degree,3.0,Male,45,4.0,1.0,Sales Representative,1.0,Single,1091,10642,1,No,17,3.0,4.0,80,0.0,1,3,3.0,1,0,0,0,1,13092
1317,50,Travel_Rarely,1322,Research & Development,28,3.0,Life Sciences,4.0,Female,43,3.0,4.0,Research Director,1.0,Married,16880,22422,4,Yes,11,3.0,2.0,80,0.0,25,2,3.0,3,2,1,2,0,202560
1258,48,Travel_Rarely,969,Research & Development,2,2.0,Technical Degree,4.0,Male,76,4.0,1.0,Laboratory Technician,2.0,Single,2559,16620,5,No,11,3.0,3.0,80,0.0,7,4,2.0,1,0,0,0,0,30708
875,42,Travel_Frequently,1271,Research & Development,2,1.0,Medical,2.0,Male,35,3.0,1.0,Research Scientist,4.0,Single,2515,9068,5,Yes,14,3.0,4.0,80,0.0,8,2,3.0,2,1,2,2,0,30180
377,28,Travel_Rarely,1158,Research & Development,9,3.0,Medical,4.0,Male,94,3.0,1.0,Research Scientist,4.0,Married,2070,2613,1,No,23,4.0,4.0,80,1.0,5,3,2.0,5,2,0,4,0,24840
2025,36,Travel_Frequently,688,Research & Development,4,2.0,Life Sciences,4.0,Female,97,3.0,2.0,Manufacturing Director,2.0,Divorced,5131,9192,7,No,13,3.0,2.0,80,3.0,18,3,3.0,4,2,0,2,0,61572
543,52,Travel_Rarely,319,Research & Development,3,3.0,Medical,4.0,Male,39,2.0,3.0,Manufacturing Director,3.0,Married,7969,19609,2,Yes,14,3.0,3.0,80,0.0,28,4,3.0,5,4,0,4,0,95628
24,38,Travel_Rarely,371,Research & Development,2,3.0,Life Sciences,4.0,Male,45,3.0,1.0,Research Scientist,4.0,Single,3944,4306,5,Yes,11,3.0,3.0,80,0.0,6,3,3.0,3,2,1,2,0,47328
1805,38,Non-Travel,1336,Human Resources,2,3.0,Human Resources,1.0,Male,100,3.0,1.0,Human Resources,2.0,Divorced,2592,7129,5,No,13,3.0,4.0,80,3.0,13,3,3.0,11,10,3,8,0,31104
1239,40,Travel_Rarely,107,Sales,10,3.0,Technical Degree,2.0,Female,84,2.0,2.0,Sales Executive,2.0,Divorced,6852,11591,7,No,12,3.0,2.0,80,1.0,7,2,4.0,5,1,1,3,0,82224
1641,40,Travel_Rarely,448,Research & Development,16,3.0,Life Sciences,3.0,Female,84,3.0,3.0,Manufacturing Director,4.0,Single,7945,19948,6,Yes,15,3.0,4.0,80,0.0,18,2,2.0,4,2,3,3,0,95340
1443,47,Travel_Rarely,359,Research & Development,2,4.0,Medical,1.0,Female,82,3.0,4.0,Research Director,3.0,Married,17169,26703,3,No,19,3.0,2.0,80,2.0,26,2,4.0,20,17,5,6,0,206028
970,37,Travel_Rarely,625,Sales,1,4.0,Life Sciences,1.0,Male,46,2.0,3.0,Sales Executive,3.0,Married,10609,14922,5,No,11,3.0,3.0,80,0.0,17,2,1.0,14,1,11,7,1,127308
340,37,Travel_Rarely,1017,Research & Development,1,2.0,Medical,3.0,Female,83,2.0,1.0,Research Scientist,1.0,Married,3920,18697,2,No,14,3.0,1.0,80,1.0,17,2,2.0,3,1,0,2,0,47040
1871,39,Travel_Rarely,835,Research & Development,19,4.0,Other,4.0,Male,41,3.0,2.0,Research Scientist,4.0,Divorced,3902,5141,8,No,14,3.0,2.0,80,3.0,7,2,3.0,2,2,2,2,0,46824
1117,45,Non-Travel,1050,Sales,9,4.0,Life Sciences,2.0,Female,65,2.0,2.0,Sales Executive,3.0,Married,5593,17970,1,No,13,3.0,4.0,80,1.0,15,2,3.0,15,10,4,12,0,67116
1464,31,Travel_Frequently,523,Research & Development,2,3.0,Life Sciences,2.0,Male,94,3.0,1.0,Laboratory Technician,4.0,Married,3722,21081,6,Yes,13,3.0,3.0,80,1.0,7,2,1.0,2,2,2,2,1,44664
1941,49,Travel_Frequently,1064,Research & Development,2,1.0,Life Sciences,2.0,Male,42,3.0,5.0,Research Director,4.0,Married,19161,13738,3,No,15,3.0,4.0,80,0.0,28,3,3.0,5,4,4,3,0,229932
1803,42,Travel_Rarely,1128,Research & Development,13,3.0,Medical,2.0,Male,95,4.0,2.0,Healthcare Representative,1.0,Married,5538,5696,5,No,18,3.0,3.0,80,2.0,10,2,2.0,0,0,0,0,0,66456
450,54,Travel_Frequently,928,Research & Development,20,4.0,Life Sciences,4.0,Female,31,3.0,2.0,Research Scientist,3.0,Single,4869,16885,3,No,12,3.0,4.0,80,0.0,20,4,2.0,4,3,0,3,0,58428
474,37,Travel_Rarely,1319,Research & Development,6,3.0,Medical,3.0,Male,51,4.0,2.0,Research Scientist,1.0,Divorced,5974,17001,4,Yes,13,3.0,1.0,80,2.0,13,2,3.0,7,7,6,7,0,71688
827,42,Travel_Rarely,932,Research & Development,1,2.0,Life Sciences,4.0,Female,43,2.0,2.0,Manufacturing Director,4.0,Married,6062,4051,9,Yes,13,3.0,4.0,80,1.0,8,4,3.0,4,3,0,2,0,72744
1677,49,Travel_Rarely,809,Research & Development,1,3.0,Life Sciences,3.0,Male,36,3.0,4.0,Manager,3.0,Single,15379,22384,4,No,14,3.0,1.0,80,0.0,23,2,3.0,8,7,0,0,0,184548
1098,44,Travel_Rarely,1376,Human Resources,1,2.0,Medical,2.0,Male,91,2.0,3.0,Human Resources,1.0,Married,10482,2326,9,No,14,3.0,4.0,80,1.0,24,1,3.0,20,6,3,6,1,125784
511,22,Travel_Rarely,253,Research & Development,11,3.0,Medical,1.0,Female,43,3.0,1.0,Research Scientist,2.0,Married,2244,24440,1,No,13,3.0,4.0,80,1.0,2,1,3.0,2,1,1,2,0,26928
1612,45,Non-Travel,336,Sales,26,3.0,Marketing,1.0,Male,52,2.0,2.0,Sales Executive,1.0,Married,4385,24162,1,No,15,3.0,1.0,80,1.0,10,2,3.0,10,7,4,5,0,52620
2061,36,Travel_Frequently,884,Research & Development,23,2.0,Medical,3.0,Male,41,4.0,2.0,Laboratory Technician,4.0,Married,2571,12290,4,No,17,3.0,3.0,80,1.0,17,3,3.0,5,2,0,3,0,30852
372,45,Travel_Rarely,1385,Research & Development,20,2.0,Medical,3.0,Male,79,3.0,4.0,Healthcare Representative,4.0,Married,13496,7501,0,Yes,14,3.0,2.0,80,0.0,21,2,3.0,20,7,4,10,0,161952
103,46,Travel_Rarely,945,Human Resources,5,2.0,Medical,2.0,Male,80,3.0,2.0,Human Resources,2.0,Divorced,5021,10425,8,Yes,22,4.0,4.0,80,1.0,16,2,3.0,4,2,0,2,0,60252
819,33,Travel_Rarely,118,Sales,16,3.0,Marketing,1.0,Female,69,3.0,2.0,Sales Executive,1.0,Single,5324,26507,5,No,15,3.0,3.0,80,0.0,6,3,3.0,3,2,0,2,1,63888
900,37,Travel_Frequently,1231,Sales,21,2.0,Medical,3.0,Female,54,3.0,1.0,Sales Representative,4.0,Married,2973,21222,5,No,15,3.0,2.0,80,1.0,10,3,3.0,5,4,0,0,0,35676
1615,34,Travel_Frequently,426,Research & Development,10,4.0,Life Sciences,3.0,Male,42,4.0,2.0,Manufacturing Director,4.0,Divorced,4724,17000,1,No,13,3.0,1.0,80,1.0,9,3,3.0,9,7,7,2,0,56688
1639,35,Travel_Rarely,737,Sales,10,3.0,Medical,4.0,Male,55,2.0,3.0,Sales Executive,1.0,Married,10306,21530,9,No,17,3.0,3.0,80,0.0,15,3,3.0,13,12,6,0,1,123672
717,34,Travel_Rarely,1442,Research & Development,9,3.0,Medical,4.0,Female,46,2.0,3.0,Healthcare Representative,2.0,Single,8621,17654,1,No,14,3.0,2.0,80,0.0,9,3,4.0,8,7,7,7,0,103452
1224,30,Travel_Rarely,853,Research & Development,7,4.0,Life Sciences,3.0,Male,49,3.0,2.0,Laboratory Technician,3.0,Divorced,3491,11309,1,No,13,3.0,1.0,80,3.0,10,4,2.0,10,7,8,9,0,41892
1998,42,Travel_Rarely,557,Research & Development,18,4.0,Life Sciences,4.0,Male,35,3.0,2.0,Research Scientist,1.0,Divorced,5410,11189,6,Yes,17,3.0,3.0,80,1.0,9,3,2.0,4,3,1,2,0,64920
1457,46,Travel_Rarely,377,Sales,9,3.0,Marketing,1.0,Male,52,3.0,3.0,Sales Executive,4.0,Divorced,10096,15986,4,No,11,3.0,1.0,80,1.0,28,1,4.0,7,7,4,3,1,121152
1802,40,Travel_Rarely,616,Research & Development,2,2.0,Life Sciences,3.0,Female,99,3.0,1.0,Laboratory Technician,1.0,Married,3377,25605,4,No,17,3.0,4.0,80,1.0,7,5,2.0,4,3,0,2,0,40524
558,40,Travel_Rarely,1398,Sales,2,4.0,Life Sciences,3.0,Female,79,3.0,5.0,Manager,3.0,Married,18041,13022,0,No,14,3.0,4.0,80,0.0,21,2,3.0,20,15,1,12,0,216492
1311,30,Travel_Rarely,1138,Research & Development,6,3.0,Technical Degree,1.0,Female,48,2.0,2.0,Laboratory Technician,4.0,Married,4627,23631,0,No,12,3.0,1.0,80,1.0,10,6,3.0,9,2,6,7,0,55524
1293,43,Travel_Rarely,531,Sales,4,4.0,Marketing,4.0,Female,56,2.0,3.0,Sales Executive,4.0,Single,10231,20364,3,No,14,3.0,4.0,80,0.0,23,3,4.0,21,7,15,17,0,122772
1004,30,Travel_Rarely,138,Research & Development,22,3.0,Life Sciences,1.0,Female,48,3.0,1.0,Research Scientist,3.0,Married,2132,11539,4,Yes,11,3.0,2.0,80,0.0,7,2,3.0,5,2,0,1,1,25584
1434,27,Travel_Rarely,1377,Research & Development,11,1.0,Life Sciences,2.0,Male,91,3.0,1.0,Laboratory Technician,1.0,Married,2099,7679,0,No,14,3.0,2.0,80,0.0,6,3,4.0,5,0,1,4,0,25188
184,30,Travel_Rarely,1240,Human Resources,9,3.0,Human Resources,3.0,Male,48,3.0,2.0,Human Resources,4.0,Married,6347,13982,0,Yes,19,3.0,4.0,80,0.0,12,2,1.0,11,9,4,7,0,76164
1163,34,Travel_Rarely,1400,Sales,9,1.0,Life Sciences,2.0,Female,70,3.0,2.0,Sales Executive,3.0,Married,5714,5829,1,No,20,4.0,1.0,80,0.0,6,3,2.0,6,5,1,3,0,68568
451,43,Travel_Rarely,1001,Research & Development,7,3.0,Life Sciences,3.0,Female,43,3.0,3.0,Healthcare Representative,1.0,Married,9985,9262,8,No,16,3.0,1.0,80,1.0,10,1,2.0,1,0,0,0,0,119820
1070,54,Travel_Rarely,1082,Sales,2,4.0,Life Sciences,3.0,Female,41,2.0,3.0,Sales Executive,3.0,Married,10686,8392,6,No,11,3.0,2.0,80,1.0,13,4,3.0,9,4,7,0,0,128232
483,40,Travel_Rarely,1171,Research & Development,10,4.0,Life Sciences,4.0,Female,46,4.0,1.0,Laboratory Technician,3.0,Married,2213,22495,3,Yes,13,3.0,3.0,80,1.0,10,3,3.0,7,7,1,7,0,26556
1954,29,Travel_Rarely,136,Research & Development,1,3.0,Life Sciences,1.0,Male,89,3.0,2.0,Healthcare Representative,1.0,Married,5373,6225,0,No,12,3.0,1.0,80,1.0,6,5,2.0,5,3,0,2,0,64476
416,31,Travel_Rarely,218,Sales,7,3.0,Technical Degree,2.0,Male,100,4.0,2.0,Sales Executive,4.0,Married,6929,12241,4,No,11,3.0,2.0,80,1.0,10,3,2.0,8,7,7,7,0,83148
374,55,Travel_Rarely,452,Research & Development,1,3.0,Medical,4.0,Male,81,3.0,5.0,Manager,1.0,Single,19045,18938,0,Yes,14,3.0,3.0,80,0.0,37,2,3.0,36,10,4,13,0,228540
683,34,Travel_Rarely,1397,Research & Development,1,5.0,Life Sciences,2.0,Male,42,3.0,1.0,Research Scientist,4.0,Married,2691,7660,1,No,12,3.0,4.0,80,1.0,10,4,2.0,10,9,8,8,0,32292
460,37,Travel_Rarely,1192,Research & Development,5,2.0,Medical,4.0,Male,61,3.0,2.0,Manufacturing Director,4.0,Divorced,6347,23177,7,No,16,3.0,3.0,80,2.0,8,2,2.0,6,2,0,4,0,76164
314,35,Travel_Frequently,944,Sales,1,3.0,Marketing,3.0,Female,92,3.0,3.0,Sales Executive,3.0,Single,8789,9096,1,No,14,3.0,1.0,80,0.0,10,3,4.0,10,7,0,8,0,105468
721,39,Travel_Rarely,408,Research & Development,2,4.0,Technical Degree,4.0,Female,80,2.0,2.0,Healthcare Representative,3.0,Single,4553,20978,1,No,11,3.0,1.0,80,0.0,20,4,3.0,20,7,11,10,0,54636
139,37,Non-Travel,1040,Research & Development,2,2.0,Life Sciences,3.0,Male,100,2.0,2.0,Healthcare Representative,4.0,Divorced,5163,15850,5,No,14,3.0,4.0,80,1.0,17,2,4.0,1,0,0,0,0,61956
1635,45,Travel_Rarely,1329,Research & Development,2,2.0,Other,4.0,Female,59,2.0,2.0,Manufacturing Director,4.0,Divorced,5770,5388,1,No,19,3.0,1.0,80,2.0,10,3,3.0,10,7,3,9,0,69240
352,40,Travel_Rarely,1416,Research & Development,2,2.0,Medical,1.0,Male,49,3.0,5.0,Research Director,3.0,Divorced,19436,5949,0,No,19,3.0,4.0,80,1.0,22,5,3.0,21,7,3,9,0,233232
580,46,Travel_Rarely,1125,Sales,10,3.0,Marketing,3.0,Female,94,2.0,3.0,Sales Executive,4.0,Married,9071,11563,2,Yes,19,3.0,3.0,80,1.0,15,3,3.0,3,2,1,2,0,108852
1056,28,Travel_Rarely,1144,Sales,10,1.0,Medical,4.0,Male,74,3.0,1.0,Sales Representative,2.0,Married,1052,23384,1,No,22,4.0,2.0,80,0.0,1,5,3.0,1,0,0,0,0,12624
388,29,Travel_Frequently,442,Sales,2,2.0,Life Sciences,2.0,Male,44,3.0,2.0,Sales Executive,4.0,Single,4554,20260,1,No,18,3.0,1.0,80,0.0,10,3,2.0,10,7,0,9,0,54648
1556,36,Travel_Rarely,1157,Sales,2,4.0,Life Sciences,3.0,Male,70,3.0,1.0,Sales Representative,4.0,Single,2644,17001,3,Yes,21,4.0,4.0,80,0.0,7,3,2.0,3,2,1,2,0,31728
194,30,Travel_Rarely,438,Research & Development,18,3.0,Life Sciences,1.0,Female,75,3.0,1.0,Research Scientist,3.0,Single,2632,23910,1,No,14,3.0,3.0,80,0.0,5,4,2.0,5,4,0,4,0,31584
305,33,Travel_Rarely,147,Research & Development,4,4.0,Medical,3.0,Female,47,2.0,1.0,Research Scientist,2.0,Married,2622,13248,6,No,21,4.0,4.0,80,0.0,7,3,3.0,3,2,1,1,0,31464
246,31,Travel_Rarely,140,Research & Development,12,1.0,Medical,3.0,Female,95,3.0,1.0,Research Scientist,4.0,Married,3929,6984,8,Yes,23,4.0,3.0,80,1.0,7,0,3.0,4,2,0,2,0,47148
1714,24,Travel_Rarely,240,Human Resources,22,1.0,Human Resources,4.0,Male,58,1.0,1.0,Human Resources,3.0,Married,1555,11585,1,No,11,3.0,3.0,80,1.0,1,2,3.0,1,0,0,0,1,18660
820,47,Travel_Rarely,202,Research & Development,2,2.0,Other,3.0,Female,33,3.0,4.0,Manager,4.0,Married,16752,12982,1,Yes,11,3.0,3.0,80,1.0,26,3,2.0,26,14,3,0,0,201024
1850,27,Travel_Frequently,1297,Research & Development,5,2.0,Life Sciences,4.0,Female,53,3.0,1.0,Laboratory Technician,4.0,Single,2379,19826,0,Yes,14,3.0,3.0,80,0.0,6,3,2.0,5,4,0,2,0,28548
1647,27,Travel_Rarely,486,Research & Development,8,3.0,Medical,2.0,Female,86,4.0,1.0,Research Scientist,3.0,Married,3517,22490,7,No,17,3.0,1.0,80,0.0,5,0,3.0,3,2,0,2,0,42204
1955,32,Non-Travel,1146,Research & Development,15,4.0,Medical,3.0,Female,34,3.0,2.0,Healthcare Representative,4.0,Divorced,6667,16542,5,No,18,3.0,2.0,80,1.0,9,6,3.0,5,1,1,2,0,80004
1228,46,Travel_Rarely,150,Research & Development,2,4.0,Technical Degree,4.0,Male,60,3.0,2.0,Manufacturing Director,4.0,Divorced,7379,17433,2,No,11,3.0,3.0,80,1.0,12,3,2.0,6,3,1,4,0,88548
1961,38,Travel_Rarely,1404,Sales,1,3.0,Life Sciences,1.0,Male,59,2.0,1.0,Sales Representative,1.0,Single,2858,11473,4,No,14,3.0,1.0,80,0.0,20,3,2.0,1,0,0,0,0,34296
1678,41,Travel_Rarely,1206,Sales,23,2.0,Life Sciences,4.0,Male,80,3.0,3.0,Sales Executive,3.0,Single,7082,11591,3,Yes,16,3.0,4.0,80,0.0,21,2,3.0,2,0,0,2,0,84984
1875,28,Travel_Rarely,1172,Sales,3,3.0,Medical,2.0,Female,78,3.0,1.0,Sales Representative,2.0,Married,2856,3692,1,No,19,3.0,4.0,80,1.0,1,3,3.0,1,0,0,0,0,34272
1981,24,Travel_Rarely,771,Research & Development,1,2.0,Life Sciences,2.0,Male,45,2.0,2.0,Healthcare Representative,3.0,Single,4617,14120,1,No,12,3.0,2.0,80,0.0,4,2,2.0,4,3,1,2,0,55404
2060,26,Travel_Rarely,1167,Sales,5,3.0,Other,4.0,Female,30,2.0,1.0,Sales Representative,3.0,Single,2966,21378,0,No,18,3.0,4.0,80,0.0,5,2,3.0,4,2,0,0,0,35592
1544,29,Travel_Rarely,441,Research & Development,8,1.0,Other,3.0,Female,39,1.0,2.0,Healthcare Representative,1.0,Married,9715,7288,3,No,13,3.0,3.0,80,1.0,9,3,3.0,7,7,0,7,0,116580
